id,gender,age,flavor,cost,nutrition,Scent,satiety
1,2,1,7,6,6,6,7
2,2,1,6,5,5,6,6
3,2,1,7,5,6,6,7
4,2,3,5,3,3,5,3
5,2,1,6,7,6,6,5
6,2,1,7,5,6,6,5
7,2,1,6,6,5,6,4
8,2,1,7,6,6,6,6
9,2,1,6,5,5,6,5
10,2,2,5,4,4,5,4
11,2,1,6,5,5,6,5
12,2,1,7,4,4,6,4
13,2,3,5,2,2,5,5
14,2,1,7,6,6,6,5
15,2,2,5,4,4,5,4
16,2,1,7,6,5,6,4
17,1,2,4,3,5,4,5
18,2,1,7,5,5,7,5
19,2,1,6,5,5,6,5
20,1,2,4,3,5,4,5
21,2,1,6,5,5,6,5
22,1,4,4,6,6,4,5
23,2,1,6,5,5,6,5
24,1,5,3,5,5,3,5
25,2,4,5,6,6,5,5
26,2,1,7,6,6,6,7
27,2,1,6,7,7,6,5
28,2,1,7,4,4,6,4
29,2,1,6,6,5,6,4
30,2,1,7,5,5,6,5
31,2,2,5,4,4,5,4
32,2,1,7,6,7,6,6
33,2,1,6,5,5,6,6
34,1,2,4,4,4,4,4
35,2,3,6,2,2,6,2
36,2,1,7,6,5,6,6
37,1,2,4,4,4,4,4
38,2,3,6,2,2,6,2
39,2,1,7,5,5,6,5
40,1,3,4,3,3,4,3
41,2,1,6,5,5,6,5
42,2,2,5,3,6,5,5
43,2,1,7,5,5,6,5
44,1,2,4,4,4,4,4
45,2,1,7,6,7,6,5
46,1,5,3,5,5,3,5
47,1,2,4,4,4,4,4
48,2,1,7,5,5,6,5
49,1,4,4,6,6,4,5
50,2,1,7,5,5,7,5
51,2,2,5,3,6,5,5
52,2,1,7,5,5,7,5
53,1,2,4,4,4,4,4
54,2,1,7,5,5,7,7
55,2,1,7,5,5,7,5
56,2,2,5,3,3,5,5
57,1,2,4,4,4,4,4
58,2,3,5,3,3,5,3
59,2,2,6,4,4,6,4
60,2,1,7,4,4,7,4
61,2,1,6,5,5,6,5
62,2,3,5,3,3,5,3
63,2,1,7,6,5,7,4
64,2,3,5,3,3,5,3
65,2,2,5,4,4,5,4
66,2,3,6,2,2,6,2
67,1,3,4,3,3,4,3
68,2,1,6,6,6,6,5
69,2,3,5,3,3,5,3
70,1,5,2,6,5,2,4
71,2,2,5,4,4,5,4
72,2,3,6,3,3,6,3
73,1,5,2,6,6,2,6
74,2,2,5,4,4,5,4
75,1,3,4,3,3,4,3
76,1,5,3,4,4,3,4
77,2,1,6,5,5,6,5
78,1,5,3,5,5,3,5
79,1,5,2,4,4,2,4
80,1,5,3,4,4,3,4
81,2,2,5,4,4,5,4
82,1,5,3,6,6,3,6
83,1,5,2,6,6,2,6
84,2,1,6,5,5,6,5
85,2,4,5,6,6,5,6
86,1,5,3,4,4,3,4
87,1,4,4,6,6,4,6
88,2,1,6,5,5,6,5
89,2,4,5,7,6,5,5
90,1,4,4,6,6,4,6
91,2,1,6,5,5,6,5
92,1,5,3,6,6,3,6
93,2,2,5,4,4,5,4
94,2,2,6,4,4,6,4
95,1,2,4,4,4,4,4
96,1,5,3,5,5,3,5
97,2,1,7,6,6,5,6
98,1,5,3,5,5,3,5
99,2,4,5,6,4,5,5
100,2,1,6,5,5,6,5
